Cod_InstitucionEjecutora|Cod_InstitucionEjecutora2|Institucion|NombreInstitucion|Institucion2|Direccion|DireccionInstitucion|DireccionProfesional|Ciudad|CiudadInstitucion|CiudadProfesional|PaisInstitucion|PaisProfesional|Tlf1Proyecto|Telefono1|Telefono2|FaxProyecto|Fax1Proyecto|Fax2Proyecto|EmailProyecto|Email|PaginaWeb|ApartadoAereo
|239|||APC_PROGRAMA DE ASISTENCIA FINANCIERA NO REEMBOLSABLE PARA PROYECTOS COMUNITARIOS DE SEGURIDAD HUMANA, EMBAJADA DE JAPON||||||||||||||||||
|240|||FONDO CONTRAVALOR PERU - ALEMANIA||||||||||||||||||
|241|||DGIS_DIRECTORATE-GENERAL FOR INTERNATIONAL COOPERATION||||||||||||||||||
|242|||MUNICIPALIDAD DISTRITAL DE CHIRINOS||||||||||||||||||
|243|||MUNICIPALIDAD DISTRITAL DE NAMORA||||||||||||||||||
|244|||MOVIMIENTO MUNDIAL POR LOS BOSQUES||||||||||||||||||
|249|||FUNDACION OMAERE||||||||||||||||||
|249|||PARQUE ETNOBOTANICO Omaere||||||||||||||||||
|253|||PROGRAMA DE AGUA POTABLE Y SANEAMIENTO PARA COMUNIDADES RURALES Y PEQUEÑOS MUNICIPIOS - PRAGUAS||||||||||||||||||
|255|||INSTITUTO PARA EL ECODESARROLLOREGIONAL AMAZONICO||||||||||||||||||
|257|||Caixa Econimica Federal||||||||||||||||||
|259|||Alcaldía del Municipio Cedeño||||||||||||||||||
|260|||Alcaldía del Municipio Heres (Estado Bolívar)||||||||||||||||||
|261|||Fundación Escuela Taller Angostura||||||||||||||||||
|265|||AGENCIA SUECA PARA EL DESARROLLO INTERNACIONAL||||||||||||||||||
|266|||COSUDE_AGENCIA SUIZA PARA EL DESARROLLO Y LA COOPERACION||||||||||||||||||
|268|||FONCODES_FONDO NACIONAL DE COMPENSACION Y DESARROLLO SOCIAL||||||||||||||||||
|305|||UNIVERSITY OF CALGARY||||||||||||||||||
|306|||CIDA_CANADIAN INTERNATIONAL DEVELOPMENT AGENCY||||||||||||||||||
|308|||ASP net_Associated Schools Project Network||||||||||||||||||
|31|||LA SECRETARIA DE VIVIENDA Y DESARROLLO||||||||||||||||||
|315|||Consejo de Gobierno Shuar Arutam del Pueblo Shuar de la Cordillera del Condor Asociación Shuar Sinip: Centro Shuar Uwints||||||||||||||||||
|61|||SENA_SERVICIO NACIONAL DE APRENDIZAJE||||||||||||||||||
|82|||UNIVERSIDAD EARTH- TIERRA TROPICAL||||||||||||||||||
|88|||GOBIERNO MUNICIPAL DE SANTA CRUZ DE LA SIERRA||||||||||||||||||
|96|||OLADE_ORGANIZACION LATINOAMERICANA DE ENERGIA||||||||||||||||||
105|105|MSDS- MINISTERIO DE SALUD Y DESARROLLO SOCIAL|MSDS - MINISTERIO DE SALU Y DESARROLOO SOCIAL|MSDS_MINISTERIO DE SALU Y DESARROLOO SOCIAL|Av. Baralt, Centro Simón Bolívar, Edif. Sur, El Silencio, Caracas.|Av. Baralt, Centro Simón Bolívar, Edif. Sur, El Silencio, Caracas.|Av. Baralt, Centro Simón Bolívar, Edif. Sur, El Silencio, Caracas.|Caracas|Caracas|Caracas|Venezuela|Venezuela|58 (0212) 408.00.00|58 (0212) 408.00.00|||||mpps@mpps.gob.ve|mpps@mpps.gob.ve||
105|105|MSDS- MINISTERIO DE SALUD Y DESARROLLO SOCIAL|MSDS - MINISTERIO DE SALU Y DESARROLOO SOCIAL|ORGANIZACION PANAMERICANA DE LA SALUD|Av. Baralt, Centro Simón Bolívar, Edif. Sur, El Silencio, Caracas.|Av. Baralt, Centro Simón Bolívar, Edif. Sur, El Silencio, Caracas.|Av. Baralt, Centro Simón Bolívar, Edif. Sur, El Silencio, Caracas.|Caracas|Caracas|Caracas|Venezuela|Venezuela|58 (0212) 408.00.00|58 (0212) 408.00.00|||||mpps@mpps.gob.ve|mpps@mpps.gob.ve||
105|105|ORGANIZACION PANAMERICANA DE LA SALUD - OPS|OPS|MSDS_MINISTERIO DE SALU Y DESARROLOO SOCIAL|Av. Amazonas 2889 y Mariana de Jesús|Av. Amazonas 2889 y Mariana de Jesús||Quito|Quito||Ecuador|No Disponible|011-593-2 2460-330|011-593-2 2460-330|011-593-2 2460-332|011-593-2 2460-332|011-593-2 2460-325 |||dvictoria@ecu.ops-oms.org|www.opsecu.org.ec|
105|105|ORGANIZACION PANAMERICANA DE LA SALUD - OPS|OPS|ORGANIZACION PANAMERICANA DE LA SALUD|Av. Amazonas 2889 y Mariana de Jesús|Av. Amazonas 2889 y Mariana de Jesús||Quito|Quito||Ecuador|No Disponible|011-593-2 2460-330|011-593-2 2460-330|011-593-2 2460-332|011-593-2 2460-332|011-593-2 2460-325 |||dvictoria@ecu.ops-oms.org|www.opsecu.org.ec|
107|107|Constructora Escala del Oriente|Tecnologías en desarrollo|Constructora Escala del Oriente|Edif. Santa Maria (Av. Oquendo entre Venezuela y F. Blanco), 4to. Piso of. 4 |Edif. Santa Maria (Av. Oquendo entre Venezuela y F. Blanco)  4to. Piso of. 4|Edif. Santa Maria (Av. Oquendo entre Venezuela y F. Blanco)  4to. Piso of. 4|Cochabamba|Cochabamba|Cochabamba|Bolivia|Bolivia|591-4-298635 |591-4-298635|591-4-531103|591-4-531103|591-4-298635|| tecnologiadesarrollo@lycos.com| tecnologiadesarrollo@lycos.com|www.tecnologiadesarrollo.tk/|Casilla 3094 
108|108|IBNORCA - Instituto Boliviano de Normalización y Calidad-,|IBNORCA - Regional Santa Cruz|Constructora Hossen S.A.|AVENIDA DEL EJÉRCITO NACIONAL Nº 487 (entre 1er y 2do anillos)|AVENIDA DEL EJÉRCITO NACIONAL Nº 487 (entre 1er y 2do anillos)|AVENIDA DEL EJÉRCITO NACIONAL Nº 487 (entre 1er y 2do anillos)|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|(591-3) 3551549|(591-3) 3551549|||(591-3) 3113380||infosc@ibnorca.org|infosc@ibnorca.org|http://www.ibnorca.org|
109|109|Constructora Casco Viejo|Constructora Casco Viejo|Constructora Casco Viejo|Calle La Riva # 291 / Colon|Calle La Riva # 291 / Colon|Calle La Riva # 291 / Colon|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 36.26.26|591-3/ 36.26.26||||||||
110|110|Fundación Arcoíris.|Fundación Arcoíris.|FUNDACION ARCOIRIS|Ciprés 12 - 202 y Acacias - Sector la Pradera|Ciprés 12 - 202 y Acacias - Sector la Pradera|Ciprés 12 - 202 y Acacias - Sector la Pradera|Quito|Quito|Quito|Ecuador|Ecuador|(593-7) 2588680|(593-7) 2588680||(593-7) 2572926|||info@arcoiris.org.ec|info@arcoiris.org.ec|http://www.arcoiris.org.ec|
111|111|LINEA RUSTICA SRL.|LINEA RUSTICA SRL.|LINEA RUSTICA SRL.|Av. Cañoto entre Peru y Fortin Corrales|Av. Cañoto entre Peru y Fortin Corrales|Av. Cañoto entre Peru y Fortin Corrales|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|591-3/ 36.67.11|591-3/ 36.67.11|591-3/ 33.52.24|591-3/ 33.52.24|591-3/ 33.2.143|||||
112|112|EMAS - Escuela Móvil Aguas y Saneamiento Básico |EMAS - Escuela Móvil Aguas y Saneamiento Básico |EMAS - Escuela Móvil de Aguas y Saneamiento|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz    Sede Santa Cruz:Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz    Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz (Bolivia)|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz|La Paz|La Paz|La Paz|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil Aguas y Saneamiento Básico |EMAS - Escuela Móvil Aguas y Saneamiento Básico |EMAS - Escuela Móvil de Aguas y Saneamiento Básico|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz    Sede Santa Cruz:Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz    Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz (Bolivia)|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz|La Paz|La Paz|La Paz|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil Aguas y Saneamiento Básico |EMAS - Escuela Móvil Aguas y Saneamiento Básico |EMAS_ESCUELA MOVIL DE AGUAS Y SANEAMIENTO BASICO|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz    Sede Santa Cruz:Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz    Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz (Bolivia)|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz|La Paz|La Paz|La Paz|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil de Aguas y Saneamiento|EMAS - Escuela Móvil de Aguas y Saneamiento|EMAS - Escuela Móvil de Aguas y Saneamiento|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz.     Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz.|La Paz|La Paz|La Paz|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil de Aguas y Saneamiento|EMAS - Escuela Móvil de Aguas y Saneamiento|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz.     Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz.|La Paz|La Paz|La Paz|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil de Aguas y Saneamiento|EMAS - Escuela Móvil de Aguas y Saneamiento|EMAS_ESCUELA MOVIL DE AGUAS Y SANEAMIENTO BASICO|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz.     Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz.|La Paz|La Paz|La Paz|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|EMAS - Escuela Móvil de Aguas y Saneamiento|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz    Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz, Bolivia|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz    Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz, Bolivia|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
112|112|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|EMAS_ESCUELA MOVIL DE AGUAS Y SANEAMIENTO BASICO|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz    Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz, Bolivia|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Santa Cruz de la Sierra|Bolivia|Bolivia|55-91/ 79.78.84|55-91/ 79.78.84||||||||
113|113|SEMTA -Servicios Múltiples de Tecnologías Apropiadas-||SEMTA_SERVICIOS MULTIPLES DE TECNOLOGIAS APROPIADAS|SEMTA: Calle Alfredo Ascarrunz 2675||SEMTA: Calle Alfredo Ascarrunz 2675|La Paz||La Paz|No Disponible|Bolivia|591-241.00.42|||591-241.47.78|591-241.14.94||semta@entelnet.bo|||
114|114|CASACEL|CASACEL|CCA-Construção Civil da Amazonia|Av. Alcindo Cancela 1177  - Apto 1004|Av. Alcindo Cancela 1177  - Apto 1004|Av. Alcindo Cancela 1177  - Apto 1004|Belém (Pará)|Belém (Pará)|Belém (Pará)|Brasil|Brasil|55-91/ 983.05.57|55-91/ 983.05.57||55-91/ 230.28.82|55-91/ 230.28.82||||www.casacel.com.br|
115|115|Junta de Acción Comunal de la Vereda el Encanto, Municipio del Retorno|Junta de Acción Comunal de la Vereda el Encanto, Municipio del Retorno|Junta de Acción Comunal de la Vereda el Encanto, Municipio del Retorno|Vereda el Encanto, Municipio del Retorno|Vereda el Encanto, Municipio del Retorno|Vereda el Encanto, Municipio del Retorno|Guaviare|Guaviare|Guaviare|Colombia|Colombia|57-986/ 84.00.72|57-986/ 84.00.72|||57-986/ 84.00.72|||||
117||CORPOICA - Corporación Colombiana de Investigación Agropecuaria Macagua|CORPOICA - Corporación Colombiana de Investigación Agropecuaria Macagua||Macagual km 20 Vía a Morelia|Macagual km 20 Vía a Morelia|Macagual km 20 Vía a Morelia|Florencia, Caquetá|Florencia, Caquetá|Florencia, Caquetá|Colombia|Colombia|57-93/ 328.10.77|57-93/ 328.10.77|||57-988/ 35.44.53|||||
118|118|OMUDEVA - Organización de Mujeres del Vaupés|OMUDEVA - Organización de Mujeres del Vaupés|OMUDEVA - Organización de Mujeres del Vaupés|Barrio Humberto Solano|Barrio Humberto Solano|Casa Municipal Calamar|Mitú, Vaupés|Mitú - Vaupés |Calamar (Guaviare)|Colombia|Colombia|57-9816/ 42.089|57-9816/ 42.089|||57-9816/ 42.007|||||
120|120|CEJAM - Centro Juvenil Amazónico |CEJAM - Centro Juvenil Amazónico |CEJAM - Centro Juvenil Amazónico|Calle 9 No. 5-68 |Calle 9 No. 5-68 |Calle 9 No. 5-68 |Leticia, Departamento de Amazonas|Leticia - Amazonas|Leticia - Amazonas|Colombia|Colombia|57-9819/ 27.048|57-9819/ 27.048|||57-9819/ 27.133|||||
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas Bogotá-Colombia  No. 20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas Bogotá-Colombia  No. 20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas Bogotá-Colombia  No. 20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 2811705|57-1/ 281.15.09 / 281.17.05|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas Bogotá-Colombia  No. 20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas Bogotá-Colombia  No. 20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas Bogotá-Colombia  No. 20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|No Disponible|Colombia|57-1/ 281.15.09 / 2811705|57-1/ 281.15.09 / 281.17.05|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 2811705|57-1/ 281.15.09 / 281.17.05|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 281.17.05|57-1/ 281.15.09 / 281.17.05|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 281.17.05|57-1/ 281.15.09 / 281.17.05|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 2419967|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 281.17.05|57-1/ 281.15.09 / 2811705|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 281.17.05|57-1/ 281.15.09 / 2811705|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 2811705|57-1/ 281.15.09 / 281.17.05|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº  20-90|Santa Fe de Bogotá, D.C., Departamento de Cundinamarca|Santafé de Bogotá|Santafé de Bogotá|Colombia|No Disponible|57-1/ 286. 53.55 / 286.29.69|57-1/ 286. 53.55 / 286.29.69|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A. A. No. 18261
121|121|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|CENTRO LAS GAVIOTAS. Orinoquia Colombiana|Centro "Las Gaviotas" Orinoquia Colombiana|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº 20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº 20-90|Sede: Centro Las Gaviotas. Vichada Occidental. Oficinas: Centro Las Gaviotas. Bogotá-Colombia Paseo Bolívar Nº 20-90|Santa Fe de Bogotá|Santa Fé de Bogotá|Santa Fé de Bogotá|Colombia|Colombia|57-1/ 281.15.09 / 281.17.05|57-1/ 281.15.09 / 2811705|57-1/ 281.17.29 / 241.99.67|57-1/ 281.17.29 / 241.99.67|57-1/ 286.29.69|57-1/ 286.74.66||||A.A. 18261
