Cod_InstitucionEjecutora|Cod_Proyecto
156|BR156IIP01T01
157|BR157IIP01T01
158|BR158IIP01T01
158|BR158IIP02T01
158|BR176IIIP01T01
159|BR176IIIP01T01
176|BR176IIIP01T01
223|BR176IIIP01T01
176|BR176IIIP02T01
15|CO015IIIP01T01
237|CO015IIIP01T01
26|CO026IIIP03T01
61|CO026IIIP03T01
236|CO026IIIP03T01
31|CO031IIP01T01
57|CO057II-IIIP04T01
115|CO115I-IIP01T00
118|CO118IP01T01
120|CO120IP01T00
121|CO121II-IIIP02T01
121|CO121IIIP03T01
121|CO121IIIP04T01
121|CO121IIP06T01
146|CO121IIP07T01
121|CO121IIP07T01
121|CO121IIP08T01
121|CO121IIP09T01
121|CO121IIP10T01
121|CO121IIP11T01
121|CO121IP01T01
122|CO122I-IIP01T01
160|CO160IIP01T00
164|CO164IIP01T00
183|CO183IIIP01T00
258|CO258IIP01T00
82|EC084IIIP01T00
3|EC105IIP01T02
105|EC105IIP01T02
110|EC110IIP02T01
149|EC149IIP01T02
256|EC149IIP01T02
149|EC149IIP02T03
149|EC149IIP03T01
184|EC184IIP01T01
41|EC218IIP01T01
218|EC218IIP01T01
244|EC218IIP01T01
220|EC220IIP01T01
248|EC248IIP01T01
249|EC248IIP01T01
248|EC248IIP02T01
249|EC248IIP02T01
248|EC248IIP04T01
4|EC250IIP01T01
250|EC250IIP01T01
251|EC251IIP01T01
253|EC254IIP01T00
255|EC254IIP01T00
149|EC256IIP01T01
256|EC256IIP01T01
310|EC310IIP01T01
311|EC311IIIP01T00
313|EC313IIIP01T01
314|EC314IIIP01T00
315|EC314IIIP01T00
314|EC314IIIP02T00
316|EC316IIIP01T00
4|GU004IVP00DT00
308|GU004IVP00DT00
96|GU303IIIP01T01
303|GU303IIIP01T01
305|GU303IIIP01T01
306|GU303IIIP01T01
57|ML057IIP03T01
3|PE003IIP03T01
3|PE003IIP07T00
56|PE003IIP07T00
166|PE003IIP07T00
3|PE003IIP09T00
56|PE003IIP09T00
214|PE003IIP09T00
9|PE009IIIP11T01
9|PE009IIP04T00
57|PE009IIP04T00
265|PE009IIP04T00
266|PE009IIP04T00
268|PE009IIP04T00
9|PE009IIP10T00
239|PE009IIP10T00
240|PE009IIP10T00
241|PE009IIP10T00
242|PE009IIP10T00
243|PE009IIP10T00
25|PE025IIP02T00
28|PE028IIP03T01
3|PE041IIP01T01
41|PE041IIP01T01
166|PE041IIP01T01
205|PE205I-II-IVP01T00
233|PE205I-II-IVP01T00
234|PE205I-II-IVP01T00
235|PE205I-II-IVP01T00
9|PE213I-IIP01T00
213|PE213I-IIP01T00
246|PE246II-IIIP02T01
2|SU002III-IVP00T00
238|SU002III-IVP00T00
29|VE029IIP01T01
105|VE105I-IVP01T00
230|VE105I-IVP01T00
231|VE105I-IVP01T00
123|VE123IIIP04T01
123|VE123IIIP05T01
123|VE123IIIP06T01
123|VE123IIP02T01
123|VE123IIP03T01
123|VE123IP01T01
124|VE124I-II-IIIP01T02
124|VE124I-II-IIIP0IT00
124|VE124IP02T00
125|VE125IP01T00
126|VE126IIP03T00
126|VE126IP01T00
126|VE126IP02T00
127|VE127I-IIP01T00
127|VE127IIP02T00
127|VE127IIP03T00
128|VE128IP01T01
129|VE129IP01T00
130|VE130I-IIP01T00
131|VE131IP01T00
259|VE131IP01T00
132|VE132IP01T00
132|VE132IP02T00
133|VE133IP01T00
134|VE134IP01T00
136|VE136IP01T00
137|VE137IP01T00
138|VE138IVP01T00
73|VE140IP01T00
140|VE140IP01T00
260|VE140IP01T00
261|VE140IP01T00
141|VE141IP01T00
142|VE142IP01T00
143|VE143IVP01T00
144|VE144IP01T01
168|VE168IIP01T01
168|VE168IIP02T04
169|VE169I-IIP01T01
40|PE040IIIP01T01
